Auteur;Titel;Journal;Jaar;Volume;Issue;Pages;Abstract;DOI
"R. Jin; L. Zhang";AI applications in HIV research: advances and future directions;Front Microbiol;2025;16;;1541942;With the increasing application of artificial intelligence (AI) in medical research, studies on the human immunodeficiency virus type 1(HIV-1) and acquired immunodeficiency syndrome (AIDS) have become more in-depth. Integrating AI with technologies like single-cell sequencing enables precise biomarker identification and improved therapeutic targeting. This review aims to explore the advancements in AI technologies and their applications across various facets of HIV research, including viral mechanisms, diagnostic innovations, therapeutic strategies, and prevention efforts. Despite challenges like data limitations and model interpretability, AI holds significant potential in advancing HIV-1 management and contributing to global health goals.;10.3389/fmicb.2025.1541942
"Z. Liao; P. Lan; X. Fan; B. Kelly; A. Innes; Z. Liao";SIRVD-DL: A COVID-19 deep learning prediction model based on time-dependent SIRVD;Comput Biol Med;2021;138;;104868;COVID-19 is one of the biggest challenges that human beings have faced recently. Many researchers have proposed different prediction methods for establishing a virus transmission model and predicting the trend of COVID-19. Among them, the methods based on artificial intelligence are currently the most interesting and widely used. However, only using artificial intelligence methods for prediction cannot capture the time change pattern of the transmission of infectious diseases. To solve this problem, this paper proposes a COVID-19 prediction model based on time-dependent SIRVD by using deep learning. This model combines deep learning technology with the mathematical model of infectious diseases, and forecasts the parameters in the mathematical model of infectious diseases by fusing deep learning models such as LSTM and other time prediction methods. In the current situation of mass vaccination, we analyzed COVID-19 data from January 15, 2021, to May 27, 2021 in seven countries - India, Argentina, Brazil, South Korea, Russia, the United Kingdom, France, Germany, and Italy. The experimental results show that the prediction model not only has a 50% improvement in single-day predictions compared to pure deep learning methods, but also can be adapted to short- and medium-term predictions, which makes the overall prediction more interpretable and robust.;10.1016/j.compbiomed.2021.104868
"A. A. Theodosiou; R. C. Read";Artificial intelligence, machine learning and deep learning: Potential resources for the infection clinician;J Infect;2023;87;4;287–294;BACKGROUND: Artificial intelligence (AI), machine learning and deep learning (including generative AI) are increasingly being investigated in the context of research and management of human infection. OBJECTIVES: We summarise recent and potential future applications of AI and its relevance to clinical infection practice. METHODS: 1617 PubMed results were screened, with priority given to clinical trials, systematic reviews and meta-analyses. This narrative review focusses on studies using prospectively collected real-world data with clinical validation, and on research with translational potential, such as novel drug discovery and microbiome-based interventions. RESULTS: There is some evidence of clinical utility of AI applied to laboratory diagnostics (e.g. digital culture plate reading, malaria diagnosis, antimicrobial resistance profiling), clinical imaging analysis (e.g. pulmonary tuberculosis diagnosis), clinical decision support tools (e.g. sepsis prediction, antimicrobial prescribing) and public health outbreak management (e.g. COVID-19). Most studies to date lack any real-world validation or clinical utility metrics. Significant heterogeneity in study design and reporting limits comparability. Many practical and ethical issues exist, including algorithm transparency and risk of bias. CONCLUSIONS: Interest in and development of AI-based tools for infection research and management are undoubtedly gaining pace, although the real-world clinical utility to date appears much more modest.;10.1016/j.jinf.2023.07.006
"Said Agrebi; Anis Larbi";Use of artificial intelligence in infectious diseases;Artificial intelligence in precision health;2020;;;415–438;;
"C. J. Haug; J. M. Drazen";Artificial Intelligence and Machine Learning in Clinical Medicine, 2023;N Engl J Med;2023;388;13;1201–1208;;10.1056/NEJMra2302038
"Brandon C. J. Cheah; Creuza Rachel Vicente; Kuan Rong Chan";Machine Learning and Artificial Intelligence for Infectious Disease Surveillance, Diagnosis, and Prognosis;Viruses;2025;17;7;882;;
"Hang-Yu Zhou; Yaling Li; Jiaying Li; Jing Meng; Aiping Wu";Unleashing the potential of artificial intelligence in infectious diseases;National Science Review;2025;12;3;;;10.1093/nsr/nwaf004
"Gijs Danoe; Andreas Voss; Axel Hamprecht; Matthijs S Berends";Artificial Intelligence in Infectious Disease Management: A Scoping Review of Diagnostics, Prognostics, Modelling, Surveillance, and Forecasting;Prognostics, Modelling, Surveillance, and Forecasting;2024;;;;;
Hassan Ali;AI for pandemic preparedness and infectious disease surveillance: predicting outbreaks, modeling transmission, and optimizing public health interventions;Int J Res Publ Rev;2024;5;8;4605–19;;
D. V. Parums;Editorial: Infectious Disease Surveillance Using Artificial Intelligence (AI) and its Role in Epidemic and Pandemic Preparedness;Med Sci Monit;2023;29;;e941209;Artificial intelligence (AI), or machine learning, is an ancient concept based on the assumption that human thought and reasoning can be mechanized. AI techniques have been used in diagnostic medicine for several decades, particularly in image analysis and clinical diagnosis. During the COVID-19 pandemic, AI was critical in genome sequencing, drug and vaccine development, identifying disease outbreaks, monitoring disease spread, and tracking viral variants. AI-driven approaches complement human-curated ones, including traditional public health surveillance. Preparation for future pandemics will require the combined efforts of collaborative surveillance networks, which currently include the US Centers for Disease Control and Prevention (CDC) Center for Forecasting and Outbreak Analytics and the World Health Organization (WHO) Hub for Pandemic and Epidemic Intelligence, which will use AI combined with international cooperation to implement AI in surveillance programs. This Editorial aims to provide an update on the uses and limitations of AI in infectious disease surveillance and pandemic preparedness.;10.12659/msm.941209
M. Tsirintani;Pros, Cons and Limits of AI in Public Health;Stud Health Technol Inform;2025;327;;208–212;This paper explores the role of Artificial Intelligence (AI) in Public Health (PH), examining its benefits, challenges, and ethical considerations. AI has become an essential tool in healthcare, improving diagnosis, treatment, and health system management. Its applications range from disease surveillance to personalized patient care, offering transformative potential in addressing public health crises such as the COVID-19 pandemic. However, the rapid adoption of AI technologies also raises concerns related to accuracy, bias, ethical dilemmas, and the safety of AI-driven decisions in healthcare. The paper presents a systematic review of the literature, identifying key areas where AI is used in public health, alongside the advantages and potential risks. Additionally, it highlights the importance of the EU AI Act, which categorizes public health AI systems as high-risk, requiring strict oversight to ensure transparency, accountability, and the protection of individual rights. The Act serves as a critical framework to foster trust and safety in AI applications, ensuring their responsible and ethical use in public health while enhancing Europe's preparedness for future health challenges. Further research is needed to address the limitations and ethical issues associated with AI in public health, including its impact on workforce dynamics and equitable healthcare access.;10.3233/shti250303
"Omar Enzo Santangelo; Vito Gentile; Stefano Pizzo; Domiziana Giordano; Fabrizio Cedrone";Machine learning and prediction of infectious diseases: a systematic review;Machine Learning and Knowledge Extraction;2023;5;1;175–198;;
"N. Fabiano; A. Gupta; N. Bhambra; B. Luu; S. Wong; M. Maaz; J. G. Fiedorowicz; A. L. Smith; M. Solmi";How to optimize the systematic review process using AI tools;JCPP Adv;2024;4;2;e12234;Systematic reviews are a cornerstone for synthesizing the available evidence on a given topic. They simultaneously allow for gaps in the literature to be identified and provide direction for future research. However, due to the ever-increasing volume and complexity of the available literature, traditional methods for conducting systematic reviews are less efficient and more time-consuming. Numerous artificial intelligence (AI) tools are being released with the potential to optimize efficiency in academic writing and assist with various stages of the systematic review process including developing and refining search strategies, screening titles and abstracts for inclusion or exclusion criteria, extracting essential data from studies and summarizing findings. Therefore, in this article we provide an overview of the currently available tools and how they can be incorporated into the systematic review process to improve efficiency and quality of research synthesis. We emphasize that authors must report all AI tools that have been used at each stage to ensure replicability as part of reporting in methods.;10.1002/jcv2.12234
"M. Omar; D. Brin; B. Glicksberg; E. Klang";Utilizing natural language processing and large language models in the diagnosis and prediction of infectious diseases: A systematic review;Am J Infect Control;2024;52;9;992–1001;BACKGROUND: Natural Language Processing (NLP) and Large Language Models (LLMs) hold largely untapped potential in infectious disease management. This review explores their current use and uncovers areas needing more attention. METHODS: This analysis followed systematic review procedures, registered with the Prospective Register of Systematic Reviews. We conducted a search across major databases including PubMed, Embase, Web of Science, and Scopus, up to December 2023, using keywords related to NLP, LLM, and infectious diseases. We also employed the Quality Assessment of Diagnostic Accuracy Studies-2 tool for evaluating the quality and robustness of the included studies. RESULTS: Our review identified 15 studies with diverse applications of NLP in infectious disease management. Notable examples include GPT-4's application in detecting urinary tract infections and BERTweet's use in Lyme Disease surveillance through social media analysis. These models demonstrated effective disease monitoring and public health tracking capabilities. However, the effectiveness varied across studies. For instance, while some NLP tools showed high accuracy in pneumonia detection and high sensitivity in identifying invasive mold diseases from medical reports, others fell short in areas like bloodstream infection management. CONCLUSIONS: This review highlights the yet-to-be-fully-realized promise of NLP and LLMs in infectious disease management. It calls for more exploration to fully harness AI's capabilities, particularly in the areas of diagnosis, surveillance, predicting disease courses, and tracking epidemiological trends.;10.1016/j.ajic.2024.03.016
"Victor Akachukwu Ibiam; Lauretta Ekanem Omale; Oladimeji Taiwo";The role of Artificial Intelligence models in clinical decision support for infectious disease diagnosis and personalized treatment planning;International Journal of Science and Research Archive;2025;14;3;1337–1347;;
"I. Villanueva-Miranda; G. Xiao; Y. Xie";Artificial intelligence in early warning systems for infectious disease surveillance: a systematic review;Front Public Health;2025;13;;1609615;"INTRODUCTION: Infectious diseases pose a significant global health threat, exacerbated by factors like globalization and climate change. Artificial intelligence (AI) offers promising tools to enhance crucial early warning systems (EWS) for disease surveillance. This systematic review evaluates the current landscape of AI applications in EWS, identifying key techniques, data sources, benefits, and challenges. METHODS: Following PRISMA guidelines, a systematic search of Semantic Scholar (2018-onward) was conducted. After screening 600 records and removing duplicates and non-relevant articles, the search yielded 67 relevant studies for review. RESULTS: Key findings reveal the prevalent use of machine learning (ML), deep learning (DL), and natural language processing (NLP), which often integrate diverse data sources (e.g., epidemiological, web, climate, wastewater). The major benefits identified include earlier outbreak detection and improved prediction accuracy. However, significant challenges persist regarding data quality and bias, model transparency (the black box"" issue), system integration difficulties, and ethical considerations such as privacy and equity. DISCUSSION: AI demonstrates considerable potential to strengthen infectious disease EWS. Realizing this potential, however, requires concerted efforts to address data limitations, enhance model explainability, ensure ethical implementation, improve infrastructure, and foster collaboration between AI developers and public health experts.""";10.3389/fpubh.2025.1609615
Kamal Jain;Artificial Intelligence Applications in handling the Infectious Diseases;;2020;;;;;
"Hüsna A?k?n; Ahmet ?ahin; Lütfü A?k?n";Exploring the Potential of Artificial Intelligence in Infectious Disease;Experimental and Applied Medical Science;2024;5;4;168–181;;
"Chenrui Lv; Wenqiang Guo; Xinyi Yin; Liu Liu; Xinlei Huang; Shimin Li; Li Zhang";Innovative applications of artificial intelligence during the COVID-19 pandemic;Infectious Medicine;2024;3;1;100095;The COVID-19 pandemic has created unprecedented challenges worldwide. Artificial intelligence (AI) technologies hold tremendous potential for tackling key aspects of pandemic management and response. In the present review, we discuss the tremendous possibilities of AI technology in addressing the global challenges posed by the COVID-19 pandemic. First, we outline the multiple impacts of the current pandemic on public health, the economy, and society. Next, we focus on the innovative applications of advanced AI technologies in key areas such as COVID-19 prediction, detection, control, and drug discovery for treatment. Specifically, AI-based predictive analytics models can use clinical, epidemiological, and omics data to forecast disease spread and patient outcomes. Additionally, deep neural networks enable rapid diagnosis through medical imaging. Intelligent systems can support risk assessment, decision-making, and social sensing, thereby improving epidemic control and public health policies. Furthermore, high-throughput virtual screening enables AI to accelerate the identification of therapeutic drug candidates and opportunities for drug repurposing. Finally, we discuss future research directions for AI technology in combating COVID-19, emphasizing the importance of interdisciplinary collaboration. Though promising, barriers related to model generalization, data quality, infrastructure readiness, and ethical risks must be addressed to fully translate these innovations into real-world impacts. Multidisciplinary collaboration engaging diverse expertise and stakeholders is imperative for developing robust, responsible, and human-centered AI solutions against COVID-19 and future public health emergencies.;https://doi.org/10.1016/j.imj.2024.100095
"Krishnaraj Chadaga; Srikanth Prabhu; Niranjana Sampathila; Sumith Nireshwalya; Swathi S Katta; Ru-San Tan; U Rajendra Acharya";Application of artificial intelligence techniques for monkeypox: a systematic review;Diagnostics;2023;13;5;824;;
"J. S. Brownstein; B. Rader; C. M. Astley; H. Tian";Advances in Artificial Intelligence for Infectious-Disease Surveillance;N Engl J Med;2023;388;17;1597–1607;;10.1056/NEJMra2119215
"Md Manjurul Ahsan; Shahana Akter Luna; Zahed Siddique";Machine-learning-based disease diagnosis: A comprehensive review;Healthcare;2022;10;3;541;;
"S. He; L. G. Leanse; Y. Feng";Artificial intelligence and machine learning assisted drug delivery for effective treatment of infectious diseases;Adv Drug Deliv Rev;2021;178;;113922;In the era of antimicrobial resistance, the prevalence of multidrug-resistant microorganisms that resist conventional antibiotic treatment has steadily increased. Thus, it is now unquestionable that infectious diseases are significant global burdens that urgently require innovative treatment strategies. Emerging studies have demonstrated that artificial intelligence (AI) can transform drug delivery to promote effective treatment of infectious diseases. In this review, we propose to evaluate the significance, essential principles, and popular tools of AI in drug delivery for infectious disease treatment. Specifically, we will focus on the achievements and key findings of current research, as well as the applications of AI on drug delivery throughout the whole antimicrobial treatment process, with an emphasis on drug development, treatment regimen optimization, drug delivery system and administration route design, and drug delivery outcome prediction. To that end, the challenges of AI in drug delivery for infectious disease treatments and their current solutions and future perspective will be presented and discussed.;10.1016/j.addr.2021.113922
M. D. Aldhoayan;The Role of Artificial Intelligence and Machine Learning During the Covid-19 Pandemic: A Review;Stud Health Technol Inform;2022;295;;28–32;Covid-19 is one of the most significant infectious diseases that have faced humanity in the past century from clinical, economic, and social perspectives. Although the role of infectious diseases in human history has been vicious and is well known to humanity, Covid-19 is a special case since it is the first worldwide outbreak in the era of advanced computing and telecommunications. For this reason, it was only logical to see Artificial Intelligence (AI) and Machine Learning (ML) on the top of the list of controls to compact the spread of Covid-19. This paper goes through the applications of AI and ML that were reported in some of the major literature indexes and can be related to the main issues that face healthcare providers during the Covid-19 pandemic. This paper also discusses the applicability of these applications to healthcare organizations and points out the main prerequisites before they can be adopted.;10.3233/shti220651
"C. Attaway; B. A. Mathison; A. Misra";No longer stuck in the past: new advances in artificial intelligence and molecular assays for parasitology screening and diagnosis;Curr Opin Infect Dis;2024;37;5;357–366;PURPOSE OF REVIEW: Emerging technologies are revolutionizing parasitology diagnostics and challenging traditional methods reliant on microscopic analysis or serological confirmation, which are known for their limitations in sensitivity and specificity. This article sheds light on the transformative potential of artificial intelligence and molecular assays in the field, promising more accurate and efficient detection methods. RECENT FINDINGS: Artificial intelligence has emerged as a promising tool for blood and stool parasite review, when paired with comprehensive databases and expert oversight result in heightened specificity and sensitivity of diagnoses while also increasing efficiency. Significant strides have been made in nucleic acid testing for multiplex panels for enteric pathogen. Both multiplex and single target panels for Plasmodium , Babesia , filaria, and kinetoplastids have been developed and garnered regulatory approval, notably for blood donor screening in the United States. Additional technologies such as MALDI-TOF, metagenomics, flow cytometry, and CRISPR-Cas are under investigation for their diagnostic utility and are currently in the preliminary stages of research and feasibility assessment. SUMMARY: Recent implementation of artificial intelligence and digital microscopy has enabled swift smear screening and diagnosis, although widespread implementation remains limited. Simultaneously, molecular assays - both targeted and multiplex panels are promising and have demonstrated promise in numerous studies with some assays securing regulatory approval recently. Additional technologies are under investigation for their diagnostic utility and are compelling avenues for future proof-of-concept diagnostics.;10.1097/qco.0000000000001041
"Nam K Tran; Cileah Kretsch; Clayton LaValley; Hooman H Rashidi";Machine learning and artificial intelligence for the diagnosis of infectious diseases in immunocompromised patients;Current Opinion in Infectious Diseases;2023;36;4;235–242;Purpose of review Immunocompromised patients are at high risk for infection. During the coronavirus disease (COVID-19) pandemic, immunocompromised patients exhibited increased odds of intensive care unit admission and death. Early pathogen identification is essential to mitigating infection related risk in immunocompromised patients. Artificial intelligence (AI) and machine learning (ML) have tremendous appeal to address unmet diagnostic needs. These AI/ML tools often rely on the wealth of data found in healthcare to enhance our ability to identify clinically significant patterns of disease. To this end, our review provides an overview of the current AI/ML landscape as it applies to infectious disease testing with emphasis on immunocompromised patients. Recent findings Examples include AI/ML for predicting sepsis in high risk burn patients. Likewise, ML is utilized to analyze complex host-response proteomic data to predict respiratory infections including COVID-19. These same approaches have also been applied for pathogen identification of bacteria, viruses, and hard to detect fungal microbes. Future uses of AI/ML may include integration of predictive analytics in point-of-care (POC) testing and data fusion applications. Summary Immunocompromised patients are at high risk for infections. AI/ML is transforming infectious disease testing and has great potential to address challenges encountered in the immune compromised population.;10.1097/qco.0000000000000935
"A. Maillard; G. Micheli; L. Lefevre; C. Guyonnet; C. Poyart; E. Canouï; M. Belan; C. Charlier";Can Chatbot Artificial Intelligence Replace Infectious Diseases Physicians in the Management of Bloodstream Infections? A Prospective Cohort Study;Clin Infect Dis;2024;78;4;825–832;"BACKGROUND: The development of chatbot artificial intelligence (AI) has raised major questions about their use in healthcare. We assessed the quality and safety of the management suggested by Chat Generative Pre-training Transformer 4 (ChatGPT-4) in real-life practice for patients with positive blood cultures. METHODS: Over a 4-week period in a tertiary care hospital, data from consecutive infectious diseases (ID) consultations for a first positive blood culture were prospectively provided to ChatGPT-4. Data were requested to propose a comprehensive management plan (suspected/confirmed diagnosis, workup, antibiotic therapy, source control, follow-up). We compared the management plan suggested by ChatGPT-4 with the plan suggested by ID consultants based on literature and guidelines. Comparisons were performed by 2 ID physicians not involved in patient management. RESULTS: Forty-four cases with a first episode of positive blood culture were included. ChatGPT-4 provided detailed and well-written responses in all cases. AI's diagnoses were identical to those of the consultant in 26 (59%) cases. Suggested diagnostic workups were satisfactory (ie, no missing important diagnostic tests) in 35 (80%) cases; empirical antimicrobial therapies were adequate in 28 (64%) cases and harmful in 1 (2%). Source control plans were inadequate in 4 (9%) cases. Definitive antibiotic therapies were optimal in 16 (36%) patients and harmful in 2 (5%). Overall, management plans were considered optimal in only 1 patient, as satisfactory in 17 (39%), and as harmful in 7 (16%). CONCLUSIONS: The use of ChatGPT-4 without consultant input remains hazardous when seeking expert medical advice in 2023, especially for severe IDs.";10.1093/cid/ciad632
"F. Wong; C. de la Fuente-Nunez; J. J. Collins";Leveraging artificial intelligence in the fight against infectious diseases;Science;2023;381;6654;164–170;Despite advances in molecular biology, genetics, computation, and medicinal chemistry, infectious disease remains an ominous threat to public health. Addressing the challenges posed by pathogen outbreaks, pandemics, and antimicrobial resistance will require concerted interdisciplinary efforts. In conjunction with systems and synthetic biology, artificial intelligence (AI) is now leading to rapid progress, expanding anti-infective drug discovery, enhancing our understanding of infection biology, and accelerating the development of diagnostics. In this Review, we discuss approaches for detecting, treating, and understanding infectious diseases, underscoring the progress supported by AI in each case. We suggest future applications of AI and how it might be harnessed to help control infectious disease outbreaks and pandemics.;10.1126/science.adh1114
"I. Revuelta; F. J. Santos-Arteaga; E. Montagud-Marrahi; P. Ventura-Aguiar; D. Di Caprio; F. Cofan; D. Cucchiari; V. Torregrosa; G. J. Piñeiro; N. Esforzado; M. Bodro; J. Ugalde-Altamirano; A. Moreno; J. M. Campistol; A. Alcaraz; B. Bayès; E. Poch; F. Oppenheimer; F. Diekmann";A hybrid data envelopment analysis-artificial neural network prediction model for COVID-19 severity in transplant recipients;Artif Intell Rev;2021;54;6;4653–4684;In an overwhelming demand scenario, such as the SARS-CoV-2 pandemic, pressure over health systems may outburst their predicted capacity to deal with such extreme situations. Therefore, in order to successfully face a health emergency, scientific evidence and validated models are needed to provide real-time information that could be applied by any health center, especially for high-risk populations, such as transplant recipients. We have developed a hybrid prediction model whose accuracy relative to several alternative configurations has been validated through a battery of clustering techniques. Using hospital admission data from a cohort of hospitalized transplant patients, our hybrid Data Envelopment Analysis (DEA)-Artificial Neural Network (ANN) model extrapolates the progression towards severe COVID-19 disease with an accuracy of 96.3%, outperforming any competing model, such as logistic regression (65.5%) and random forest (44.8%). In this regard, DEA-ANN allows us to categorize the evolution of patients through the values of the analyses performed at hospital admission. Our prediction model may help guiding COVID-19 management through the identification of key predictors that permit a sustainable management of resources in a patient-centered model. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s10462-021-10008-0.;10.1007/s10462-021-10008-0
"M. Homburg; E. Meijer; M. Berends; T. Kupers; T. Olde Hartman; J. Muris; E. de Schepper; P. Velek; J. Kuiper; M. Berger; L. Peters";A Natural Language Processing Model for COVID-19 Detection Based on Dutch General Practice Electronic Health Records by Using Bidirectional Encoder Representations From Transformers: Development and Validation Study;J Med Internet Res;2023;25;;e49944;"BACKGROUND: Natural language processing (NLP) models such as bidirectional encoder representations from transformers (BERT) hold promise in revolutionizing disease identification from electronic health records (EHRs) by potentially enhancing efficiency and accuracy. However, their practical application in practice settings demands a comprehensive and multidisciplinary approach to development and validation. The COVID-19 pandemic highlighted challenges in disease identification due to limited testing availability and challenges in handling unstructured data. In the Netherlands, where general practitioners (GPs) serve as the first point of contact for health care, EHRs generated by these primary care providers contain a wealth of potentially valuable information. Nonetheless, the unstructured nature of free-text entries in EHRs poses challenges in identifying trends, detecting disease outbreaks, or accurately pinpointing COVID-19 cases. OBJECTIVE: This study aims to develop and validate a BERT model for detecting COVID-19 consultations in general practice EHRs in the Netherlands. METHODS: The BERT model was initially pretrained on Dutch language data and fine-tuned using a comprehensive EHR data set comprising confirmed COVID-19 GP consultations and non-COVID-19-related consultations. The data set was partitioned into a training and development set, and the model's performance was evaluated on an independent test set that served as the primary measure of its effectiveness in COVID-19 detection. To validate the final model, its performance was assessed through 3 approaches. First, external validation was applied on an EHR data set from a different geographic region in the Netherlands. Second, validation was conducted using results of polymerase chain reaction (PCR) test data obtained from municipal health services. Lastly, correlation between predicted outcomes and COVID-19-related hospitalizations in the Netherlands was assessed, encompassing the period around the outbreak of the pandemic in the Netherlands, that is, the period before widespread testing. RESULTS: The model development used 300,359 GP consultations. We developed a highly accurate model for COVID-19 consultations (accuracy 0.97, F(1)-score 0.90, precision 0.85, recall 0.85, specificity 0.99). External validations showed comparable high performance. Validation on PCR test data showed high recall but low precision and specificity. Validation using hospital data showed significant correlation between COVID-19 predictions of the model and COVID-19-related hospitalizations (F(1)-score 96.8; P<.001; R(2)=0.69). Most importantly, the model was able to predict COVID-19 cases weeks before the first confirmed case in the Netherlands. CONCLUSIONS: The developed BERT model was able to accurately identify COVID-19 cases among GP consultations even preceding confirmed cases. The validated efficacy of our BERT model highlights the potential of NLP models to identify disease outbreaks early, exemplifying the power of multidisciplinary efforts in harnessing technology for disease identification. Moreover, the implications of this study extend beyond COVID-19 and offer a blueprint for the early recognition of various illnesses, revealing that such models could revolutionize disease surveillance.";10.2196/49944
"Gerit Wagner; Roman Lukyanenko; Guy Paré";Artificial intelligence and the conduct of literature reviews;Journal of Information Technology;2022;37;2;209–226;;
"Francisco Bolanos; Angelo Salatino; Francesco Osborne; Enrico Motta";Artificial intelligence for literature reviews: Opportunities and challenges;Artificial Intelligence Review;2024;57;10;259;;
"C. Li; G. Ye; Y. Jiang; Z. Wang; H. Yu; M. Yang";Artificial Intelligence in battling infectious diseases: A transformative role;J Med Virol;2024;96;1;e29355;It is widely acknowledged that infectious diseases have wrought immense havoc on human society, being regarded as adversaries from which humanity cannot elude. In recent years, the advancement of Artificial Intelligence (AI) technology has ushered in a revolutionary era in the realm of infectious disease prevention and control. This evolution encompasses early warning of outbreaks, contact tracing, infection diagnosis, drug discovery, and the facilitation of drug design, alongside other facets of epidemic management. This article presents an overview of the utilization of AI systems in the field of infectious diseases, with a specific focus on their role during the COVID-19 pandemic. The article also highlights the contemporary challenges that AI confronts within this domain and posits strategies for their mitigation. There exists an imperative to further harness the potential applications of AI across multiple domains to augment its capacity in effectively addressing future disease outbreaks.;10.1002/jmv.29355
"S. A. Hudu; A. S. Alshrari; E. J. I. Abu-Shoura; A. Osman; A. O. Jimoh";A Critical Review of the Prospect of Integrating Artificial Intelligence in Infectious Disease Diagnosis and Prognosis;Interdiscip Perspect Infect Dis;2025;2025;;6816002;This paper explores the transformative potential of integrating artificial intelligence (AI) in the diagnosis and prognosis of infectious diseases. By analyzing diverse datasets, including clinical symptoms, laboratory results, and imaging data, AI algorithms can significantly enhance early detection and personalized treatment strategies. This paper reviews how AI-driven models improve diagnostic accuracy, predict patient outcomes, and contribute to effective disease management. It also addresses the challenges and ethical considerations associated with AI, including data privacy, algorithmic bias, and equitable access to healthcare. Highlighting case studies and recent advancements, the paper underscores AI's role in revolutionizing infectious disease management and its implications for future healthcare delivery.;10.1155/ipid/6816002
"M. S. Gawande; N. Zade; P. Kumar; S. Gundewar; I. N. Weerarathna; P. Verma";The role of artificial intelligence in pandemic responses: from epidemiological modeling to vaccine development;Mol Biomed;2025;6;1;1;Integrating Artificial Intelligence (AI) across numerous disciplines has transformed the worldwide landscape of pandemic response. This review investigates the multidimensional role of AI in the pandemic, which arises as a global health crisis, and its role in preparedness and responses, ranging from enhanced epidemiological modelling to the acceleration of vaccine development. The confluence of AI technologies has guided us in a new era of data-driven decision-making, revolutionizing our ability to anticipate, mitigate, and treat infectious illnesses. The review begins by discussing the impact of a pandemic on emerging countries worldwide, elaborating on the critical significance of AI in epidemiological modelling, bringing data-driven decision-making, and enabling forecasting, mitigation and response to the pandemic. In epidemiology, AI-driven epidemiological models like SIR (Susceptible-Infectious-Recovered) and SIS (Susceptible-Infectious-Susceptible) are applied to predict the spread of disease, preventing outbreaks and optimising vaccine distribution. The review also demonstrates how Machine Learning (ML) algorithms and predictive analytics improve our knowledge of disease propagation patterns. The collaborative aspect of AI in vaccine discovery and clinical trials of various vaccines is emphasised, focusing on constructing AI-powered surveillance networks. Conclusively, the review presents a comprehensive assessment of how AI impacts epidemiological modelling, builds AI-enabled dynamic models by collaborating ML and Deep Learning (DL) techniques, and develops and implements vaccines and clinical trials. The review also focuses on screening, forecasting, contact tracing and monitoring the virus-causing pandemic. It advocates for sustained research, real-world implications, ethical application and strategic integration of AI technologies to strengthen our collective ability to face and alleviate the effects of global health issues.;10.1186/s43556-024-00238-3
"A. Sarantopoulos; C. Mastori Kourmpani; A. L. Yokarasa; C. Makamanzi; P. Antoniou; N. Spernovasilis; C. Tsioutis";Artificial Intelligence in Infectious Disease Clinical Practice: An Overview of Gaps, Opportunities, and Limitations;Trop Med Infect Dis;2024;9;10;;The integration of artificial intelligence (AI) in clinical medicine marks a revolutionary shift, enhancing diagnostic accuracy, therapeutic efficacy, and overall healthcare delivery. This review explores the current uses, benefits, limitations, and future applications of AI in infectious diseases, highlighting its specific applications in diagnostics, clinical decision making, and personalized medicine. The transformative potential of AI in infectious diseases is emphasized, addressing gaps in rapid and accurate disease diagnosis, surveillance, outbreak detection and management, and treatment optimization. Despite these advancements, significant limitations and challenges exist, including data privacy concerns, potential biases, and ethical dilemmas. The article underscores the need for stringent regulatory frameworks and inclusive databases to ensure equitable, ethical, and effective AI utilization in the field of clinical and laboratory infectious diseases.;10.3390/tropicalmed9100228
"Ali A. Rabaan; Muhammed A. Bakhrebah; Jawaher Alotaibi; Zuhair S. Natto; Rahaf S. Alkhaibari; Eman Alawad; Huda M. Alshammari; Sara Alwarthan; Mashael Alhajri; Mohammed S. Almogbel; Maha H. Aljohani; Fadwa S. Alofi; Nada Alharbi; Wasl Al-Adsani; Abdulrahman M. Alsulaiman; Jehad Aldali; Fatimah Al Ibrahim; Reem S. Almaghrabi; Awad Al-Omari; Mohammed Garout";Unleashing the power of artificial intelligence for diagnosing and treating infectious diseases: A comprehensive review;Journal of Infection and Public Health;2023;16;11;1837–1847;Infectious diseases present a global challenge, requiring accurate diagnosis, effective treatments, and preventive measures. Artificial intelligence (AI) has emerged as a promising tool for analysing complex molecular data and improving the diagnosis, treatment, and prevention of infectious diseases. Computer-aided detection (CAD) using convolutional neural networks (CNN) has gained prominence for diagnosing tuberculosis (TB) and other infectious diseases such as COVID-19, HIV, and viral pneumonia. The review discusses the challenges and limitations associated with AI in this field and explores various machine-learning models and AI-based approaches. Artificial neural networks (ANN), recurrent neural networks (RNN), support vector machines (SVM), multilayer neural networks (MLNN), CNN, long short-term memory (LSTM), and random forests (RF) are among the models discussed. The review emphasizes the potential of AI to enhance the accuracy and efficiency of diagnosis, treatment, and prevention of infectious diseases, highlighting the need for further research and development in this area.;https://doi.org/10.1016/j.jiph.2023.08.021
